cluster_names	Z7542	Z7546	Z7547	Z7574
103P14B1_165	0	0	0	0
103P14B1_177	1	1	1	1
103P14B1_179	1	1	1	1
103P14B1_180	1	0	1	1
103P14B1_181	1	1	1	1
103P14B1_182	1	1	1	1
103P14B1_183	1	1	1	1
103P14B1_187	1	1	1	1
103P14B1_188	1	1	1	1
103P14B1_189	1	1	1	1
103P14B1_190	1	1	1	1
103P14B1_191	1	1	1	1
103P14B1_192	1	1	1	1
103P14B1_193	1	1	1	1
103P14B1_195	1	1	1	1
103P14B1_196	1	1	1	1
103P14B1_197	1	1	1	1
103P14B1_198	1	1	1	1
103P14B1_199	1	1	1	1
103P14B1_200	1	1	1	1
103P14B1_201	1	1	1	1
103P14B1_204	1	1	1	1
103P14B1_1817	1	1	1	1
103P14B1_207	1	1	1	0
103P14B1_208	1	1	1	0
103P14B1_212	0	0	0	0
103P14B1_213	0	0	0	0
103P14B1_214	1	1	1	1
103P14B1_216	1	1	1	1
103P14B1_217	1	1	1	1
103P14B1_220	1	1	1	1
103P14B1_221	1	1	1	1
103P14B1_222	1	1	1	1
103P14B1_223	1	1	1	1
103P14B1_224	0	0	0	1
103P14B1_225	0	0	0	1
103P14B1_226	0	0	0	1
103P14B1_229	1	1	1	1
103P14B1_230	1	1	1	1
103P14B1_231	1	1	1	1
103P14B1_233	1	1	1	1
103P14B1_235	1	1	1	1
103P14B1_236	1	1	1	1
103P14B1_237	1	1	1	1
103P14B1_240	1	1	1	1
103P14B1_241	1	1	1	1
103P14B1_243	1	1	1	1
103P14B1_244	0	0	0	0
103P14B1_245	1	1	1	1
103P14B1_247	1	1	1	1
103P14B1_249	1	1	1	1
103P14B1_251	1	1	1	1
103P14B1_252	1	1	1	1
103P14B1_255	1	1	1	1
103P14B1_256	1	1	1	1
103P14B1_257	1	1	1	1
103P14B1_261	1	1	1	1
103P14B1_262	1	1	1	1
103P14B1_263	1	1	1	1
103P14B1_264	1	1	1	1
103P14B1_266	1	1	1	1
103P14B1_267	1	1	1	1
103P14B1_268	1	1	1	1
103P14B1_269	1	1	1	1
103P14B1_270	1	1	1	1
103P14B1_271	1	1	1	1
103P14B1_272	1	1	1	1
103P14B1_274	1	1	1	1
103P14B1_275	1	1	1	1
103P14B1_276	1	1	1	1
103P14B1_279	0	0	0	0
103P14B1_280	1	1	1	1
103P14B1_281	1	1	1	1
103P14B1_282	1	1	1	1
103P14B1_283	0	0	0	1
103P14B1_285	1	1	1	1
103P14B1_286	1	1	1	1
103P14B1_287	1	1	1	1
103P14B1_289	1	1	1	1
103P14B1_290	1	1	1	1
103P14B1_291	1	1	1	1
103P14B1_293	0	0	0	0
103P14B1_296	1	1	1	1
103P14B1_298	1	1	1	1
103P14B1_299	0	0	0	0
103P14B1_300	1	1	1	1
103P14B1_301	1	1	1	1
103P14B1_302	1	1	1	1
103P14B1_303	1	0	1	1
103P14B1_304	1	1	1	1
103P14B1_305	1	1	1	1
103P14B1_306	1	1	1	1
103P14B1_307	1	1	1	1
103P14B1_308	1	1	1	1
103P14B1_309	1	1	1	1
103P14B1_315	1	1	1	1
103P14B1_317	1	1	1	1
103P14B1_318	1	1	1	1
103P14B1_319	1	1	1	1
103P14B1_320	1	1	1	1
103P14B1_321	1	1	1	1
103P14B1_323	1	1	1	1
103P14B1_324	1	1	1	1
103P14B1_325	1	1	1	1
103P14B1_326	1	0	1	1
103P14B1_327	1	1	1	1
103P14B1_328	1	1	1	1
103P14B1_329	1	1	1	1
103P14B1_330	1	1	1	1
103P14B1_331	1	1	1	1
103P14B1_332	1	1	1	1
103P14B1_333	1	1	1	1
103P14B1_334	0	0	0	0
103P14B1_335	1	1	1	1
103P14B1_336	1	1	1	1
103P14B1_342	1	1	1	1
103P14B1_345	1	1	1	1
103P14B1_346	1	1	1	1
103P14B1_347	1	1	1	1
103P14B1_348	1	1	1	1
103P14B1_349	1	1	1	1
103P14B1_351	1	1	1	1
103P14B1_352	1	1	1	1
103P14B1_353	1	1	1	1
103P14B1_354	1	1	1	1
103P14B1_355	1	1	1	1
103P14B1_356	1	1	1	1
103P14B1_357	1	1	1	1
103P14B1_358	1	1	1	1
103P14B1_359	1	1	1	1
103P14B1_360	1	1	1	1
103P14B1_361	1	1	1	1
103P14B1_362	1	1	1	1
103P14B1_364	1	1	1	1
103P14B1_367	1	1	1	1
103P14B1_368	1	1	1	1
103P14B1_369	1	1	1	1
103P14B1_370	1	1	1	1
103P14B1_371	1	1	1	1
103P14B1_372	1	1	1	1
103P14B1_373	1	1	1	1
103P14B1_374	1	1	1	1
103P14B1_375	1	1	1	1
103P14B1_376	1	1	1	1
103P14B1_1088	1	1	1	1
103P14B1_378	1	1	1	1
103P14B1_379	1	1	1	1
103P14B1_380	0	0	0	0
103P14B1_381	1	1	1	1
103P14B1_385	1	1	1	1
103P14B1_386	1	1	1	1
103P14B1_387	1	1	1	1
103P14B1_389	1	1	1	1
103P14B1_390	1	1	1	1
103P14B1_391	1	1	1	1
103P14B1_392	1	1	1	1
103P14B1_393	1	1	1	1
103P14B1_394	1	1	1	1
103P14B1_395	1	1	1	1
103P14B1_396	1	1	1	1
103P14B1_397	1	1	1	1
103P14B1_398	1	1	1	1
103P14B1_400	1	1	1	1
103P14B1_401	1	1	1	1
103P14B1_403	1	1	1	1
103P14B1_404	1	1	1	1
103P14B1_406	1	1	1	1
103P14B1_407	1	1	1	1
103P14B1_408	1	1	1	1
103P14B1_409	1	1	1	1
103P14B1_410	1	1	1	1
103P14B1_411	1	1	1	1
103P14B1_412	1	1	1	1
103P14B1_413	1	1	1	1
103P14B1_414	1	1	1	1
103P14B1_415	1	1	1	1
103P14B1_416	1	1	1	1
103P14B1_417	1	1	1	1
103P14B1_421	1	1	1	1
103P14B1_422	0	0	0	0
103P14B1_423	1	1	1	1
103P14B1_425	1	1	1	1
103P14B1_426	0	0	0	0
103P14B1_428	1	1	1	0
103P14B1_429	0	0	0	1
103P14B1_430	1	1	1	1
103P14B1_431	1	1	1	1
103P14B1_432	1	1	1	1
103P14B1_434	1	1	1	1
103P14B1_435	1	1	1	1
103P14B1_436	1	1	1	1
103P14B1_437	0	0	0	1
103P14B1_438	1	1	1	1
103P14B1_439	1	1	1	1
103P14B1_440	1	1	1	1
103P14B1_441	0	0	0	0
103P14B1_442	1	1	1	1
103P14B1_443	1	1	1	1
103P14B1_444	1	1	1	1
103P14B1_445	1	1	1	1
103P14B1_446	1	1	1	1
103P14B1_447	1	1	1	1
103P14B1_448	1	1	1	1
103P14B1_449	1	1	1	1
103P14B1_450	1	1	1	1
103P14B1_451	1	1	1	1
103P14B1_453	1	1	1	1
103P14B1_454	1	1	1	1
103P14B1_455	1	1	1	1
103P14B1_456	1	1	1	1
103P14B1_459	1	1	1	1
103P14B1_460	1	1	1	1
103P14B1_463	1	1	1	1
103P14B1_464	1	1	1	1
103P14B1_470	1	1	1	1
103P14B1_472	1	1	1	1
103P14B1_473	1	1	1	1
103P14B1_474	1	1	1	1
103P14B1_475	1	1	1	1
103P14B1_478	1	1	1	1
103P14B1_479	1	1	1	1
103P14B1_483	1	1	1	1
103P14B1_485	0	0	0	0
103P14B1_486	1	1	1	1
103P14B1_487	1	1	1	1
103P14B1_488	1	1	1	1
103P14B1_489	1	1	1	1
103P14B1_490	1	1	1	1
103P14B1_492	1	1	1	1
103P14B1_494	1	1	1	1
103P14B1_495	1	1	1	1
103P14B1_496	1	1	1	1
103P14B1_497	1	1	1	1
103P14B1_498	1	1	1	1
103P14B1_499	1	1	1	1
103P14B1_500	1	1	1	1
103P14B1_501	1	1	1	1
103P14B1_502	1	1	1	1
103P14B1_503	1	1	1	1
103P14B1_505	1	1	1	1
103P14B1_506	1	1	1	1
103P14B1_507	1	1	1	1
103P14B1_508	1	1	1	1
103P14B1_509	1	1	1	1
103P14B1_510	1	1	1	1
103P14B1_511	1	1	1	1
103P14B1_514	0	0	0	0
103P14B1_515	0	0	0	0
103P14B1_516	0	0	0	0
103P14B1_518	1	1	1	1
103P14B1_519	0	0	0	0
103P14B1_521	0	0	0	0
103P14B1_522	0	0	0	0
103P14B1_523	0	0	0	0
103P14B1_524	1	1	1	1
103P14B1_525	0	0	0	0
103P14B1_526	1	1	1	1
103P14B1_528	1	1	1	1
103P14B1_529	1	1	1	1
103P14B1_533	1	1	1	1
103P14B1_534	1	1	1	0
103P14B1_537	1	1	1	1
103P14B1_538	1	1	1	1
103P14B1_539	1	1	1	1
103P14B1_540	1	1	1	1
103P14B1_541	1	1	1	1
103P14B1_542	1	1	1	1
103P14B1_544	1	1	1	1
103P14B1_545	1	1	1	1
103P14B1_547	1	1	1	1
103P14B1_548	0	0	0	0
103P14B1_551	1	1	1	1
103P14B1_553	1	1	1	1
103P14B1_554	1	1	1	1
103P14B1_555	1	1	1	1
103P14B1_557	1	1	1	1
103P14B1_561	1	1	1	1
103P14B1_562	1	1	1	1
103P14B1_563	1	1	1	1
103P14B1_564	1	1	1	1
103P14B1_566	1	1	1	1
103P14B1_567	1	1	1	1
103P14B1_568	1	1	1	1
103P14B1_569	1	1	1	1
103P14B1_570	0	0	0	0
103P14B1_571	1	1	1	1
103P14B1_575	1	1	1	1
103P14B1_576	1	1	1	1
103P14B1_577	1	1	1	1
103P14B1_578	1	1	1	1
103P14B1_579	1	1	1	1
103P14B1_581	1	1	1	1
103P14B1_582	1	1	1	1
103P14B1_583	1	1	1	1
103P14B1_585	1	1	1	1
103P14B1_587	1	1	1	1
103P14B1_588	1	1	1	1
103P14B1_589	1	1	1	1
103P14B1_590	1	1	1	1
103P14B1_591	1	1	1	1
103P14B1_593	1	1	1	1
103P14B1_594	1	1	1	1
103P14B1_595	1	1	1	1
103P14B1_596	1	1	1	1
103P14B1_598	1	1	1	1
103P14B1_600	1	1	1	1
103P14B1_601	1	1	1	1
103P14B1_604	1	1	1	1
103P14B1_606	1	1	1	1
103P14B1_609	1	1	1	1
103P14B1_615	0	0	0	0
103P14B1_616	0	0	0	0
103P14B1_617	0	0	0	0
103P14B1_620	0	0	0	0
103P14B1_621	0	0	0	0
103P14B1_622	0	0	0	0
103P14B1_1140	0	0	0	1
103P14B1_627	1	1	1	1
103P14B1_628	1	1	1	1
103P14B1_632	1	1	1	0
103P14B1_633	1	1	1	0
103P14B1_634	1	1	1	0
103P14B1_636	1	1	1	0
103P14B1_637	1	1	1	1
103P14B1_638	1	1	1	1
103P14B1_639	1	1	1	1
103P14B1_640	1	1	1	1
103P14B1_641	1	1	1	1
103P14B1_642	1	1	1	1
103P14B1_643	1	1	1	1
103P14B1_645	1	1	1	1
103P14B1_647	1	1	1	1
103P14B1_648	1	1	1	1
103P14B1_649	1	1	1	1
103P14B1_650	1	1	1	1
103P14B1_651	1	1	1	1
103P14B1_652	1	1	1	1
103P14B1_653	1	1	1	1
103P14B1_654	1	1	1	1
103P14B1_655	0	0	0	0
103P14B1_656	1	1	1	1
103P14B1_657	0	0	0	0
103P14B1_658	1	1	1	1
103P14B1_660	0	0	0	0
103P14B1_661	0	0	0	0
103P14B1_662	1	1	1	1
103P14B1_663	1	1	1	1
103P14B1_664	0	0	0	0
103P14B1_666	1	1	1	1
103P14B1_667	1	1	1	1
103P14B1_668	1	0	1	1
103P14B1_669	0	0	0	0
103P14B1_670	0	0	0	0
103P14B1_671	1	1	1	1
103P14B1_673	1	1	1	1
103P14B1_676	1	1	1	1
103P14B1_677	1	1	1	1
103P14B1_678	1	1	1	1
103P14B1_679	1	1	1	1
103P14B1_680	1	1	1	1
103P14B1_681	1	1	1	1
103P14B1_683	1	1	1	1
103P14B1_684	1	1	1	1
103P14B1_685	1	1	1	1
103P14B1_687	1	1	1	1
103P14B1_689	0	0	0	0
103P14B1_691	0	0	0	0
103P14B1_692	0	0	0	0
103P14B1_693	0	0	0	0
103P14B1_694	0	0	0	0
103P14B1_695	0	0	0	0
103P14B1_696	0	0	0	0
103P14B1_698	0	0	0	0
103P14B1_699	0	0	0	0
103P14B1_700	0	0	0	0
103P14B1_701	0	0	0	0
103P14B1_702	0	0	0	0
103P14B1_703	0	0	0	0
103P14B1_704	0	0	0	0
103P14B1_705	0	0	0	0
103P14B1_706	0	0	0	0
103P14B1_709	0	0	0	0
103P14B1_710	0	0	0	0
103P14B1_711	1	1	1	1
103P14B1_712	0	0	0	0
103P14B1_713	1	1	1	1
103P14B1_714	1	1	1	1
103P14B1_715	0	0	0	0
103P14B1_716	1	1	1	1
103P14B1_717	1	1	1	1
103P14B1_718	1	1	1	1
103P14B1_719	0	0	0	0
103P14B1_720	1	1	1	1
103P14B1_721	1	1	1	1
103P14B1_723	1	1	1	1
103P14B1_724	0	0	0	0
103P14B1_725	1	1	1	1
103P14B1_726	1	1	1	1
103P14B1_727	1	1	1	1
103P14B1_729	1	1	1	1
103P14B1_730	1	1	1	1
103P14B1_731	1	1	1	1
103P14B1_732	0	0	0	0
103P14B1_735	1	1	1	1
103P14B1_736	1	1	1	1
103P14B1_737	1	1	1	1
103P14B1_738	1	1	1	1
103P14B1_740	1	1	1	1
103P14B1_741	1	1	1	1
103P14B1_743	1	1	1	1
103P14B1_744	1	1	1	1
103P14B1_746	1	1	1	0
103P14B1_747	1	1	1	1
103P14B1_749	1	1	1	1
103P14B1_752	1	1	1	1
103P14B1_756	1	1	1	1
103P14B1_757	1	1	1	1
103P14B1_759	1	1	1	1
103P14B1_760	1	1	1	1
103P14B1_765	1	1	1	1
103P14B1_767	1	1	1	1
103P14B1_771	1	1	1	1
103P14B1_772	1	1	1	1
103P14B1_773	1	1	1	1
103P14B1_774	1	1	1	1
103P14B1_775	1	1	1	1
103P14B1_776	1	1	1	1
103P14B1_778	1	1	1	1
103P14B1_779	1	1	1	1
103P14B1_780	1	1	1	1
103P14B1_781	1	1	1	1
103P14B1_782	1	1	1	1
103P14B1_783	1	1	1	1
103P14B1_784	0	0	0	0
103P14B1_789	0	0	0	0
103P14B1_792	0	0	0	0
103P14B1_793	0	0	0	0
103P14B1_794	0	0	0	0
103P14B1_795	0	0	0	0
103P14B1_796	0	0	0	0
103P14B1_798	0	0	0	0
103P14B1_799	0	0	0	0
103P14B1_800	0	0	0	0
103P14B1_801	0	0	0	0
103P14B1_802	0	0	0	0
103P14B1_803	0	0	0	0
103P14B1_805	0	0	0	0
103P14B1_806	0	0	0	0
103P14B1_807	0	0	0	0
103P14B1_808	0	0	0	0
103P14B1_809	0	0	0	0
103P14B1_811	0	0	0	0
103P14B1_814	1	1	1	1
103P14B1_817	1	1	1	1
103P14B1_819	1	1	1	1
103P14B1_822	1	1	1	1
103P14B1_824	0	0	0	0
103P14B1_825	0	0	0	0
103P14B1_827	0	0	0	0
103P14B1_828	0	0	0	1
103P14B1_829	0	0	0	1
103P14B1_832	0	0	0	0
103P14B1_836	0	0	0	0
103P14B1_837	0	0	0	0
103P14B1_838	1	1	1	1
103P14B1_839	1	1	1	1
103P14B1_842	1	1	1	1
103P14B1_843	1	1	1	1
103P14B1_846	1	1	1	1
103P14B1_847	1	1	1	1
103P14B1_848	1	1	1	1
103P14B1_849	1	1	1	1
103P14B1_850	0	0	0	0
103P14B1_851	1	1	1	0
103P14B1_856	0	0	0	0
103P14B1_857	1	1	1	1
103P14B1_860	1	1	1	1
103P14B1_862	1	1	1	1
103P14B1_865	1	1	1	1
103P14B1_867	1	1	1	1
103P14B1_868	1	1	1	1
103P14B1_870	1	1	1	1
103P14B1_871	1	1	1	1
103P14B1_872	1	1	1	1
103P14B1_873	1	1	1	1
103P14B1_874	1	1	1	1
103P14B1_875	1	1	1	1
103P14B1_876	1	1	1	1
103P14B1_879	1	1	1	1
103P14B1_883	1	1	1	1
103P14B1_884	1	1	1	1
103P14B1_885	1	1	1	1
103P14B1_886	1	1	1	1
103P14B1_887	1	1	1	1
103P14B1_888	1	1	1	1
103P14B1_889	1	1	1	1
103P14B1_890	1	1	1	1
103P14B1_894	1	1	1	1
103P14B1_896	1	1	1	1
103P14B1_897	1	1	1	1
103P14B1_899	1	1	1	1
103P14B1_900	1	1	1	1
103P14B1_901	1	1	1	1
103P14B1_902	1	1	1	1
103P14B1_903	1	1	1	1
103P14B1_904	1	1	1	1
103P14B1_909	1	1	1	1
103P14B1_910	1	1	1	1
103P14B1_911	1	1	1	1
103P14B1_914	1	1	1	1
103P14B1_915	1	1	1	1
103P14B1_917	1	1	1	1
103P14B1_918	1	1	1	1
103P14B1_919	1	1	1	1
103P14B1_922	1	1	1	1
103P14B1_923	1	1	1	1
103P14B1_924	1	1	1	1
103P14B1_925	1	1	1	1
103P14B1_926	1	1	1	1
103P14B1_927	0	0	0	0
103P14B1_928	0	0	0	0
103P14B1_930	1	1	1	1
103P14B1_931	1	1	1	1
103P14B1_932	0	0	0	0
103P14B1_933	1	1	1	1
103P14B1_936	1	1	1	1
103P14B1_937	1	1	1	1
103P14B1_943	1	1	1	1
103P14B1_944	0	0	0	0
103P14B1_945	1	1	1	1
103P14B1_946	1	1	1	1
103P14B1_948	1	1	1	1
103P14B1_950	1	1	1	1
103P14B1_951	1	1	1	1
103P14B1_953	1	1	1	1
103P14B1_954	1	1	1	1
103P14B1_955	1	1	1	1
103P14B1_956	1	1	1	1
103P14B1_957	1	1	1	1
103P14B1_959	1	1	1	1
103P14B1_960	1	1	1	1
103P14B1_961	0	0	0	0
103P14B1_962	1	1	1	1
103P14B1_963	1	1	1	1
103P14B1_964	0	0	0	0
103P14B1_966	0	0	0	0
103P14B1_970	1	1	1	1
103P14B1_971	1	1	1	1
103P14B1_973	1	1	1	1
103P14B1_975	1	1	1	1
103P14B1_976	1	1	1	1
103P14B1_977	1	1	1	1
103P14B1_982	1	1	1	1
103P14B1_984	1	1	1	1
103P14B1_989	1	1	1	1
103P14B1_993	0	0	0	0
103P14B1_998	1	1	1	1
103P14B1_1001	0	0	0	0
103P14B1_1002	1	1	1	1
103P14B1_1004	1	1	1	1
103P14B1_1005	1	1	1	1
103P14B1_1008	1	1	1	1
103P14B1_1009	1	1	1	1
103P14B1_1011	1	1	1	1
103P14B1_1013	1	1	1	1
103P14B1_1014	0	0	0	0
103P14B1_1016	0	0	0	0
103P14B1_1018	0	0	0	0
103P14B1_1019	0	0	0	0
103P14B1_1020	1	1	1	1
103P14B1_1022	1	1	1	1
103P14B1_1023	1	1	1	1
103P14B1_1024	1	0	1	1
103P14B1_1025	1	1	1	1
103P14B1_1026	1	1	1	1
103P14B1_1027	1	1	1	1
103P14B1_1028	1	1	1	1
103P14B1_1029	1	1	1	1
103P14B1_1032	1	1	1	1
103P14B1_1033	1	1	1	1
103P14B1_1035	1	1	1	1
103P14B1_1036	1	1	1	1
103P14B1_1038	1	1	1	1
103P14B1_1039	1	1	1	1
103P14B1_1041	1	1	1	1
103P14B1_1042	1	1	1	1
103P14B1_1043	1	1	1	1
103P14B1_1044	1	1	1	1
103P14B1_1045	1	1	1	1
103P14B1_1047	1	1	1	1
103P14B1_1048	1	1	1	1
103P14B1_1049	1	1	1	1
103P14B1_1050	1	1	1	1
103P14B1_1051	1	1	1	1
103P14B1_1052	1	1	1	1
103P14B1_1053	1	1	1	1
103P14B1_1055	1	1	1	1
103P14B1_1056	1	1	1	1
103P14B1_1057	1	1	1	1
103P14B1_1058	1	1	1	1
103P14B1_1059	1	1	1	1
103P14B1_1060	1	1	1	1
103P14B1_1061	1	1	1	1
103P14B1_1062	1	1	1	1
103P14B1_1063	1	1	1	1
103P14B1_1066	1	1	1	1
103P14B1_1067	1	1	1	1
103P14B1_1068	1	1	1	1
103P14B1_1069	1	1	1	1
103P14B1_1070	1	1	1	1
103P14B1_1072	1	1	1	1
103P14B1_1073	1	1	1	1
103P14B1_1075	0	0	0	0
103P14B1_1076	0	0	0	0
103P14B1_1078	1	1	1	1
103P14B1_1079	1	1	1	1
103P14B1_1080	1	1	1	1
103P14B1_1081	0	0	0	0
103P14B1_1082	0	0	0	0
103P14B1_1085	1	1	1	1
103P14B1_1086	1	1	1	1
103P14B1_1087	1	1	1	1
103P14B1_1089	0	0	0	0
103P14B1_1092	0	0	0	0
103P14B1_1093	0	0	0	0
103P14B1_1095	1	1	1	1
103P14B1_1096	1	1	1	1
103P14B1_1098	1	1	1	1
103P14B1_1101	1	1	1	1
103P14B1_1102	1	1	1	1
103P14B1_1103	1	1	1	1
103P14B1_1104	1	1	1	1
103P14B1_1105	1	1	1	1
103P14B1_1106	1	1	1	1
103P14B1_1107	1	1	1	1
103P14B1_1108	1	1	1	1
103P14B1_1110	1	1	1	1
103P14B1_1111	1	1	1	1
103P14B1_1112	1	1	1	1
103P14B1_1113	1	1	1	1
103P14B1_1114	0	0	0	0
103P14B1_1116	1	1	1	1
103P14B1_1119	1	1	1	1
103P14B1_1122	1	1	1	1
103P14B1_1124	1	1	1	1
103P14B1_1127	1	1	1	1
103P14B1_1128	1	1	1	1
103P14B1_1129	1	1	1	1
103P14B1_1133	1	1	1	1
103P14B1_1134	1	1	1	1
103P14B1_1135	1	1	1	1
103P14B1_1136	1	1	1	1
103P14B1_1137	1	1	1	0
103P14B1_1138	1	1	1	0
103P14B1_1139	1	1	1	1
103P14B1_1141	1	1	1	1
103P14B1_1143	1	1	1	1
103P14B1_1144	0	0	0	0
103P14B1_1146	1	1	1	1
103P14B1_1147	1	1	1	1
103P14B1_1149	1	1	1	1
103P14B1_1150	1	1	1	1
103P14B1_1151	1	1	1	1
103P14B1_1152	1	1	1	1
103P14B1_1153	1	1	1	1
103P14B1_1155	1	1	1	1
103P14B1_1158	0	0	0	0
103P14B1_1159	0	0	0	0
103P14B1_1160	0	0	0	0
103P14B1_1164	1	1	1	1
103P14B1_1165	1	1	1	1
103P14B1_1167	1	1	1	1
103P14B1_1168	1	1	1	1
103P14B1_1169	0	0	0	0
103P14B1_1173	1	1	1	1
103P14B1_1176	1	1	1	1
103P14B1_1177	1	1	1	1
103P14B1_1178	1	1	1	1
103P14B1_1180	1	1	1	1
103P14B1_1181	1	1	1	1
103P14B1_1183	1	1	1	1
103P14B1_1184	1	1	1	1
103P14B1_1185	1	1	1	1
103P14B1_1186	1	1	1	1
103P14B1_1187	1	1	1	1
103P14B1_1189	1	1	1	1
103P14B1_1190	1	1	1	1
103P14B1_1191	1	1	1	1
103P14B1_1192	1	1	1	0
103P14B1_1193	1	1	1	1
103P14B1_1194	1	1	1	1
103P14B1_1196	1	1	1	1
103P14B1_1197	1	1	1	1
103P14B1_1199	1	1	1	1
103P14B1_1204	1	1	1	1
103P14B1_1205	1	1	1	1
103P14B1_1207	1	1	1	1
103P14B1_1208	1	1	1	1
103P14B1_1209	1	1	1	1
103P14B1_1210	1	1	1	1
103P14B1_1213	1	1	1	1
103P14B1_1214	1	1	1	1
103P14B1_1215	1	1	1	1
103P14B1_1219	1	1	1	1
103P14B1_1220	1	1	1	1
103P14B1_1221	1	1	1	1
103P14B1_1222	1	1	1	1
103P14B1_1223	1	1	1	1
103P14B1_1225	1	1	1	1
103P14B1_1226	1	1	1	1
103P14B1_1227	1	1	1	1
103P14B1_1229	1	1	1	1
103P14B1_1230	1	1	1	1
103P14B1_1231	1	1	1	1
103P14B1_1233	1	1	1	1
103P14B1_1234	1	1	1	1
103P14B1_1235	1	1	1	1
103P14B1_1237	1	1	1	1
103P14B1_1238	1	1	1	0
103P14B1_1240	1	1	1	1
103P14B1_1242	1	1	1	1
103P14B1_1243	1	1	1	1
103P14B1_1245	1	1	1	1
103P14B1_1247	1	1	1	1
103P14B1_1249	1	1	1	1
103P14B1_1251	1	1	1	1
103P14B1_1252	1	1	1	1
103P14B1_1253	0	0	0	0
103P14B1_1255	0	0	0	0
103P14B1_1257	0	0	0	0
103P14B1_1260	0	0	0	0
103P14B1_1261	0	0	0	0
103P14B1_1262	0	0	0	0
103P14B1_1263	0	0	0	0
103P14B1_1264	0	0	0	0
103P14B1_1269	0	0	0	0
103P14B1_1270	1	1	1	1
103P14B1_1271	1	1	1	1
103P14B1_1272	1	1	1	1
103P14B1_1273	1	1	1	1
103P14B1_1276	1	1	1	1
103P14B1_1277	1	1	1	1
103P14B1_1280	1	1	1	1
103P14B1_1281	1	1	1	1
103P14B1_1282	1	1	1	1
